Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C5C8,2pF,C2pF,2,
2,,C,C16,150pF,SMD-0805,1,
3,,C,C15,220pF,SMD-0805,1,
4,,C,C14,510pF,SMD-0805,1,
5,,C,C1C2C3C4C9C10C11,100nF,SMD-0805,7,
6,,C,C13C17,330nF,SMD-0805,2,
7,,DIODE,D1,DIODE,,1,
8,,CONN1_2,J1,CONN1_2,CONN_3_2,1,
9,,JUMP_3X2,J2,JUMP_3X2,Pin_Header_Straight_2x03,1,
10,,JUMP_5X2,J3,JUMP_5X2,Pin_Header_Straight_2x05,1,
11,,JUMP_3X2,J4,Out,Pin_Header_Straight_2x03,1,
12,,JFET_N,Q1,BF862,SOT-23,1,
13,,R,R10,1k5,SMD-0805,1,
14,,R,R12R13R14,2k4,SMD-0805,3,
15,,R,R8,3k3,SMD-0805,1,
16,,R,R11,6k2,SMD-0805,1,
17,,R,R9R15,10k,SMD-0805,2,
18,,R,R7,2M,SMD-0805,1,
19,,R,R1R2,4M7,SMD-0805,2,
20,,R,R3R4R5R6,R,SMD-0805,4,
21,,AD8691,U1,AD8691,tsot-5,1,
22,,AD8692,U2,AD8692,SOIC-8-N,1,
