Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",9.5250,19.0500,90.0000,bottom
"C2","100nF","SMD-0805",12.9083,15.6667,180.0000,bottom
"C3","100n","SMD-0805",19.0500,25.9080,90.0000,bottom
"C4","100n","SMD-0805",37.0840,8.6360,0.0000,bottom
"C5","2pF","2pF_PCB",26.6548,24.0792,0.0000,top
"C8","2pF","2pF_PCB",20.7213,7.6759,0.0000,top
"C9","100n","SMD-0805",27.3101,15.7988,-90.0000,bottom
"C10","100n","SMD-0805",32.2580,8.6360,-90.0000,bottom
"C11","100n","SMD-0805",30.2260,8.6360,-90.0000,bottom
"C13","330nF","SMD-0805",26.2890,12.3190,180.0000,bottom
"C14","510pF","SMD-0805",34.1630,19.8120,0.0000,bottom
"C15","220pF","SMD-0805",37.3380,20.8280,90.0000,bottom
"C16","150pF","SMD-0805",41.9100,17.7800,90.0000,bottom
"C17","330nF","SMD-0805",41.9100,13.9700,90.0000,bottom
"J1","CONN1_2","CONN_3_2",13.5433,9.6774,90.0000,top
"J2","JUMP_3X2","Pin_Header_Straight_2x03",5.0800,15.7480,90.0000,top
"J3","JUMP_5X2","Pin_Header_Straight_2x05",33.2740,3.8100,0.0000,top
"J4","Out","Pin_Header_Straight_2x03",45.9740,13.2080,90.0000,top
"P1","_","MountingHole_3mm",45.7200,25.4000,0.0000,top
"P2","_","MountingHole_3mm",45.7200,5.0800,0.0000,top
"P3","_","MountingHole_3mm",5.0800,5.0800,0.0000,top
"P4","_","MountingHole_3mm",5.0800,25.4000,0.0000,top
"Q1","BF862","SOT-23",16.3830,15.7480,-90.0000,bottom
"R1","4M7","SMD-0805",9.5250,15.7124,90.0000,bottom
"R2","4M7","SMD-0805",12.2022,18.0746,0.0000,bottom
"R3","R","SMD-0805",16.5100,24.0030,-90.0000,bottom
"R4","R","SMD-0805",16.5100,19.9390,-90.0000,bottom
"R5","R","SMD-0805",18.9230,20.1930,-90.0000,bottom
"R6","R","SMD-0805",21.4630,18.2880,-90.0000,bottom
"R7","2M","SMD-0805",20.8280,13.4620,180.0000,bottom
"R8","3k3","SMD-0805",27.9400,8.6360,-90.0000,bottom
"R9","10k","SMD-0805",33.4010,17.3990,180.0000,bottom
"R10","1k5","SMD-0805",34.0360,22.0980,0.0000,bottom
"R11","6k2","SMD-0805",40.6400,21.5900,180.0000,bottom
"R12","2k4","SMD-0805",39.6240,18.5420,90.0000,bottom
"R13","2k4","SMD-0805",38.1000,11.9380,-90.0000,bottom
"R14","2k4","SMD-0805",38.8620,14.9860,180.0000,bottom
"R15","10k","SMD-0805",41.1480,9.3980,-90.0000,bottom
"U1","AD8691","tsot-5",24.6380,16.3830,180.0000,bottom
"U2","AD8692","SOIC-8-N",32.2580,13.2080,90.0000,bottom
