Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",9.5250,19.0500,90.0000,bottom
"C2","100nF","SMD-0805",12.9083,15.6667,180.0000,bottom
"C3","100n","SMD-0805",19.0500,25.9080,90.0000,bottom
"C4","100n","SMD-0805",37.0840,8.6360,0.0000,bottom
"C9","100n","SMD-0805",27.3101,15.7988,-90.0000,bottom
"C10","100n","SMD-0805",32.2580,8.6360,-90.0000,bottom
"C11","100n","SMD-0805",30.2260,8.6360,-90.0000,bottom
"C13","330nF","SMD-0805",26.2890,12.3190,180.0000,bottom
"C14","510pF","SMD-0805",34.1630,19.8120,0.0000,bottom
"C15","220pF","SMD-0805",37.3380,20.8280,90.0000,bottom
"C16","150pF","SMD-0805",41.9100,17.7800,90.0000,bottom
"C17","330nF","SMD-0805",41.9100,13.9700,90.0000,bottom
"Q1","BF862","SOT-23",16.3830,15.7480,-90.0000,bottom
"R1","4M7","SMD-0805",9.5250,15.7124,90.0000,bottom
"R2","4M7","SMD-0805",12.2022,18.0746,0.0000,bottom
"R3","R","SMD-0805",16.5100,24.0030,-90.0000,bottom
"R4","R","SMD-0805",16.5100,19.9390,-90.0000,bottom
"R5","R","SMD-0805",18.9230,20.1930,-90.0000,bottom
"R6","R","SMD-0805",21.4630,18.2880,-90.0000,bottom
"R7","2M","SMD-0805",20.8280,13.4620,180.0000,bottom
"R8","3k3","SMD-0805",27.9400,8.6360,-90.0000,bottom
"R9","10k","SMD-0805",33.4010,17.3990,180.0000,bottom
"R10","1k5","SMD-0805",34.0360,22.0980,0.0000,bottom
"R11","6k2","SMD-0805",40.6400,21.5900,180.0000,bottom
"R12","2k4","SMD-0805",39.6240,18.5420,90.0000,bottom
"R13","2k4","SMD-0805",38.1000,11.9380,-90.0000,bottom
"R14","2k4","SMD-0805",38.8620,14.9860,180.0000,bottom
"R15","10k","SMD-0805",41.1480,9.3980,-90.0000,bottom
"U1","AD8691","tsot-5",24.6380,16.3830,180.0000,bottom
"U2","AD8692","SOIC-8-N",32.2580,13.2080,90.0000,bottom
